#Parameters = {L=3.2; L_2=4.4; L_3=6.8; L_4=9.2; L_max=10.4; L_min=3.2; Nx=4; Ny=12; a=5.0729589590734; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=0.945; db_l=0.4; db_neck_l=2.4; db_w=1.05; eps_r=3.55; f0=27; f_W=1; f_c=28; fmax=32; fmin=22; gap_x=0.1768320121146; gap_y=0.2; grid_g=0.052693488694766; grid_l=1.0471997246251; grid_w=0.36566196717012; h1=0.762; h2=0.254; line_gap=0.25; m_l=0.4; m_w=0.7; mic_w=0.25; mu_r=1; pitch_x=1.2240317367397; pitch_y=0.41835545586489; rx_slot1=-0.945; rx_slot2=0.945; s_center=0.875; sigma_cu=58000000; slot_dumbbell_l=0.4; slot_dumbbell_w=0.7; slot_end_r=0.15; slot_l=3.2; slot_w=0.6; tanD=0.0027; total_stack_h=2.122; total_x=4.7192949348442; total_y=4.9675719816839; ttdA_x0=-0.945; ttdA_x1=-1.4825; ttdA_x2=-1.4825; ttdA_x3=0.555; ttdA_x4=0.555; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.061; ttd_w=0.25; ttd_x1=-0.945; ttd_x2=-0.945; ttd_x3=1.13; ttd_x4=1.13; ttd_x5=0.7675; ttd_xc=-0.945; ttd_y1=-1.6; ttd_y2=-1.0625; ttd_y3=-1.0625; ttd_y4=0.975; ttd_y5=0.975; ttd_yc=0; ttd_zmax=1.07; ttd_zmid=1.061; ttd_zmin=1.052; tx_Nx=12; tx_Ny=4; tx_gap_y=0.1768320121146; tx_pitch_x=0.41835545586489; tx_pitch_y=1.2240317367397; tx_slot1=-0.945; tx_slot2=0.945; x_last_max=2.4480634734794; x_start=-2.4480634734794; y_start=-2.4837859908419; z_L1=0; z_L10=2.122; z_L2=0.018; z_L3=0.78; z_L4=0.798; z_L5=1.052; z_L6=1.07; z_L7=1.324; z_L8=1.342; z_L9=2.104; z_air_bot=-3; z_air_top=5.122}
#"Frequency / GHz"	"SZmax(1),Zmin(2) [Phase / deg]"
#--------------------------------------------------
22.000000000000	-130.87897231203
22.010000000000	-131.32965374136
22.020000000000	-131.77977825257
22.030000000000	-132.22934389674
22.040000000000	-132.67834878079
22.050000000000	-133.12679106750
22.060000000000	-133.57466897562
22.070000000000	-134.02198077986
22.080000000000	-134.46872481093
22.090000000000	-134.91489945557
22.100000000000	-135.36050315655
22.110000000000	-135.80553441261
22.120000000000	-136.24999177851
22.130000000000	-136.69387386495
22.140000000000	-137.13717933852
22.150000000000	-137.57990692169
22.160000000000	-138.02205539265
22.170000000000	-138.46362358533
22.180000000000	-138.90461038924
22.190000000000	-139.34501474938
22.200000000000	-139.78483566616
22.210000000000	-140.22407219522
22.220000000000	-140.66272344735
22.230000000000	-141.10078858830
22.240000000000	-141.53826683866
22.250000000000	-141.97515747367
22.260000000000	-142.41145982307
22.270000000000	-142.84717327089
22.280000000000	-143.28229725528
22.290000000000	-143.71683126832
22.300000000000	-144.15077485575
22.310000000000	-144.58412761685
22.320000000000	-145.01688920410
22.330000000000	-145.44905932305
22.340000000000	-145.88063773201
22.350000000000	-146.31162424182
22.360000000000	-146.74201871562
22.370000000000	-147.17182106853
22.380000000000	-147.60103126743
22.390000000000	-148.02964933066
22.400000000000	-148.45767532773
22.410000000000	-148.88510937905
22.420000000000	-149.31195165562
22.430000000000	-149.73820237871
22.440000000000	-150.16386181960
22.450000000000	-150.58893029920
22.460000000000	-151.01340818780
22.470000000000	-151.43729590470
22.480000000000	-151.86059391788
22.490000000000	-152.28330274370
22.500000000000	-152.70542294654
22.510000000000	-153.12695513844
22.520000000000	-153.54789997880
22.530000000000	-153.96825817397
22.540000000000	-154.38803047696
22.550000000000	-154.80721768702
22.560000000000	-155.22582064933
22.570000000000	-155.64384025461
22.580000000000	-156.06127743875
22.590000000000	-156.47813318246
22.600000000000	-156.89440851087
22.610000000000	-157.31010449319
22.620000000000	-157.72522224229
22.630000000000	-158.13976291437
22.640000000000	-158.55372770852
22.650000000000	-158.96711786640
22.660000000000	-159.37993467182
22.670000000000	-159.79217945035
22.680000000000	-160.20385356895
22.690000000000	-160.61495843556
22.700000000000	-161.02549549877
22.710000000000	-161.43546624732
22.720000000000	-161.84487220984
22.730000000000	-162.25371495436
22.740000000000	-162.66199608795
22.750000000000	-163.06971725636
22.760000000000	-163.47688014357
22.770000000000	-163.88348647145
22.780000000000	-164.28953799935
22.790000000000	-164.69503652368
22.800000000000	-165.09998387758
22.810000000000	-165.50438193048
22.820000000000	-165.90823258773
22.830000000000	-166.31153779021
