#Parameters = {L=3.2; L_min=3.2; Nx=4; Ny=12; a=5.2011880517973; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=1.8; db_l=0.4; db_neck_l=1.536; db_w=1.05; eps_r=3.55; f0=27; f_W=1; f_c=28; fmax=32; fmin=22; gap_x=0.34025976432583; gap_y=0.2; grid_g=0.00027083493387229; grid_l=0.87497230754204; grid_w=0.43313893313808; h1=0.75870462188591; h2=0.25727377777767; l_1=1.1494412768028; l_2=0.24630884502918; l_3=0; l_4=0; l_5=0.24630884502918; l_6=0.32841179337224; l_7=0; l_8=0; line_gap=0.25; m_l=0.70382246122097; m_w=0.41568172580541; mic_w=0.16420589668612; mu_r=1; pitch_x=1.2152320718679; pitch_y=0.43340976807195; rx_slot1=-1.8; rx_slot2=1.8; s_center=0.24630884502918; sigma_cu=58000000; slot_dumbbell_l=0.2; slot_dumbbell_w=0.604; slot_end_r=0.15; slot_l=2.336; slot_w=0.5; tanD=0.0027; total_stack_h=2.1219567993272; total_x=4.5206685231456; total_y=5.2006463819296; ttdA_x0=-1.8; ttdA_x1=-2.3375; ttdA_x2=-2.3375; ttdA_x3=-0.3; ttdA_x4=-0.3; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.0609783996636; ttd_w=0.16420589668612; ttd_x1=-1.8; ttd_x2=-1.8; ttd_x3=0.275; ttd_x4=0.275; ttd_x5=-0.0875; ttd_xc=-1.8; ttd_y1=-1.168; ttd_y2=-0.6305; ttd_y3=-0.6305; ttd_y4=1.407; ttd_y5=1.407; ttd_yc=0; ttd_zmax=1.0699783996636; ttd_zmid=1.0609783996636; ttd_zmin=1.0519783996636; tx_Nx=12; tx_Ny=4; tx_gap_y=0.34025976432583; tx_pitch_x=0.43340976807195; tx_pitch_y=1.2152320718679; tx_slot1=-1.8; tx_slot2=1.8; x_last_max=2.4304641437357; x_start=-2.4304641437357; y_start=-2.6003231909648; z_L1=0; z_L10=2.1219567993272; z_L2=0.018; z_L3=0.77670462188591; z_L4=0.79470462188591; z_L5=1.0519783996636; z_L6=1.0699783996636; z_L7=1.3272521774413; z_L8=1.3452521774413; z_L9=2.1039567993272; z_air_bot=-3; z_air_top=5.1219567993272}
#"Frequency / GHz"	"SZmax(1),Zmin(2) (176) [Phase / deg]"
#--------------------------------------------------------
27.000000000000	-165.24904089800
27.002000000000	-165.37909962989
27.004000000000	-165.50909459262
27.006000000000	-165.63902605877
27.008000000000	-165.76889430161
27.010000000000	-165.89869959508
27.012000000000	-166.02844221381
27.014000000000	-166.15812243308
27.016000000000	-166.28774052885
27.018000000000	-166.41729677770
27.020000000000	-166.54679145690
27.022000000000	-166.67622484433
27.024000000000	-166.80559721850
27.026000000000	-166.93490885855
27.028000000000	-167.06416004425
27.030000000000	-167.19335105595
27.032000000000	-167.32248217464
27.034000000000	-167.45155368188
27.036000000000	-167.58056585983
27.038000000000	-167.70951899124
27.040000000000	-167.83841335942
27.042000000000	-167.96724924826
27.044000000000	-168.09602694223
27.046000000000	-168.22474672633
27.048000000000	-168.35340888612
27.050000000000	-168.48201370772
27.052000000000	-168.61056147777
27.054000000000	-168.73905248344
27.056000000000	-168.86748701244
27.058000000000	-168.99586535299
27.060000000000	-169.12418779384
27.062000000000	-169.25245462422
27.064000000000	-169.38066613388
27.066000000000	-169.50882261306
27.068000000000	-169.63692435249
27.070000000000	-169.76497164339
27.072000000000	-169.89296477744
27.074000000000	-170.02090404682
27.076000000000	-170.14878974415
27.078000000000	-170.27662216252
27.080000000000	-170.40440159548
27.082000000000	-170.53212833702
27.084000000000	-170.65980268158
27.086000000000	-170.78742492404
27.088000000000	-170.91499535972
27.090000000000	-171.04251428433
27.092000000000	-171.16998199405
27.094000000000	-171.29739878545
27.096000000000	-171.42476495551
27.098000000000	-171.55208080164
27.100000000000	-171.67934662161
27.102000000000	-171.80656271363
27.104000000000	-171.93372937627
27.106000000000	-172.06084690850
27.108000000000	-172.18791560966
27.110000000000	-172.31493577948
27.112000000000	-172.44190771804
27.114000000000	-172.56883172581
27.116000000000	-172.69570810361
27.118000000000	-172.82253715260
27.120000000000	-172.94931917432
27.122000000000	-173.07605447063
27.124000000000	-173.20274334375
27.126000000000	-173.32938609624
27.128000000000	-173.45598303098
27.130000000000	-173.58253445117
27.132000000000	-173.70904066036
27.134000000000	-173.83550196240
27.136000000000	-173.96191866146
27.138000000000	-174.08829106201
27.140000000000	-174.21461946885
27.142000000000	-174.34090418705
27.144000000000	-174.46714552201
27.146000000000	-174.59334377940
27.148000000000	-174.71949926518
27.150000000000	-174.84561228560
27.152000000000	-174.97168314719
27.154000000000	-175.09771215677
27.156000000000	-175.22369962140
27.158000000000	-175.34964584844
27.160000000000	-175.47555114549
27.162000000000	-175.60141582043
27.164000000000	-175.72724018138
