#Parameters = {L=3.2; L_min=3.2; Nx=4; Ny=12; a=5.2335643405167; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=1.8; db_l=0.4; db_neck_l=1.536; db_w=1.05; eps_r=3.55; f0=27; f_W=1; f_c=28; fmax=32; fmin=22; gap_x=0.36129502206971; gap_y=0.2; grid_g=0.0027613186815184; grid_l=0.85677230754204; grid_w=0.43313893313808; h1=0.75870462188591; h2=0.25727377777767; l_1_segment_TTD=0.21552023940053; l_2_segment_TTD=0.21552023940053; l_3_segment_TTD=0; l_4_segment_TTD=0; line_gap=0.25; m_l=0.76085228097904; m_w=0.42399513420269; mic_w=0.14368015960035; mu_r=1; pitch_x=1.2180673296117; pitch_y=0.4359002518196; rx_slot1=-1.8; rx_slot2=1.8; s_center=0.21552023940053; sigma_cu=58000000; slot_dumbbell_l=0.2; slot_dumbbell_w=0.604; slot_end_r=0.15; slot_l=2.336; slot_w=0.5; tanD=0.0027; total_stack_h=2.1219567993272; total_x=4.5109742963773; total_y=5.2280417031537; ttdA_x0=-1.8; ttdA_x1=-2.3375; ttdA_x2=-2.3375; ttdA_x3=-0.3; ttdA_x4=-0.3; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.0609783996636; ttd_w=0.14368015960035; ttd_x1=-1.8; ttd_x2=-1.8; ttd_x3=0.275; ttd_x4=0.275; ttd_x5=-0.0875; ttd_xc=-1.8; ttd_y1=-1.168; ttd_y2=-0.6305; ttd_y3=-0.6305; ttd_y4=1.407; ttd_y5=1.407; ttd_yc=0; ttd_zmax=1.0699783996636; ttd_zmid=1.0609783996636; ttd_zmin=1.0519783996636; tx_Nx=12; tx_Ny=4; tx_gap_y=0.36129502206971; tx_pitch_x=0.4359002518196; tx_pitch_y=1.2180673296117; tx_slot1=-1.8; tx_slot2=1.8; x_last_max=2.4361346592235; x_start=-2.4361346592235; y_start=-2.6140208515768; z_L1=0; z_L10=2.1219567993272; z_L2=0.018; z_L3=0.77670462188591; z_L4=0.79470462188591; z_L5=1.0519783996636; z_L6=1.0699783996636; z_L7=1.3272521774413; z_L8=1.3452521774413; z_L9=2.1039567993272; z_air_bot=-3; z_air_top=5.1219567993272}
#"Frequency / GHz"	"SZmax(1),Zmin(2) (1) [Magnitude / dB]"
#---------------------------------------------------------
27.000000000000	-2.1321509801791
27.002000000000	-2.1262921915465
27.004000000000	-2.1204355858139
27.006000000000	-2.1145811949690
27.008000000000	-2.1087290510960
27.010000000000	-2.1028791863754
27.012000000000	-2.0970316330841
27.014000000000	-2.0911864235952
27.016000000000	-2.0853435903778
27.018000000000	-2.0795031659971
27.020000000000	-2.0736651831143
27.022000000000	-2.0678296744863
27.024000000000	-2.0619966729657
27.026000000000	-2.0561662115010
27.028000000000	-2.0503383231358
27.030000000000	-2.0445130410094
27.032000000000	-2.0386903983562
27.034000000000	-2.0328704285057
27.036000000000	-2.0270531648824
27.038000000000	-2.0212386410059
27.040000000000	-2.0154268904904
27.042000000000	-2.0096179470445
27.044000000000	-2.0038118444715
27.046000000000	-1.9980086166689
27.048000000000	-1.9922082976284
27.050000000000	-1.9864109214356
27.052000000000	-1.9806165222700
27.054000000000	-1.9748251344048
27.056000000000	-1.9690367922065
27.058000000000	-1.9632515301351
27.060000000000	-1.9574693827437
27.062000000000	-1.9516903846783
27.064000000000	-1.9459145706777
27.066000000000	-1.9401419755734
27.068000000000	-1.9343726342889
27.070000000000	-1.9286065818403
27.072000000000	-1.9228438533354
27.074000000000	-1.9170844839740
27.076000000000	-1.9113285090471
27.078000000000	-1.9055759639375
27.080000000000	-1.8998268841186
27.082000000000	-1.8940813051550
27.084000000000	-1.8883392627019
27.086000000000	-1.8826007925048
27.088000000000	-1.8768659303994
27.090000000000	-1.8711347123115
27.092000000000	-1.8654071742563
27.094000000000	-1.8596833523385
27.096000000000	-1.8539632827520
27.098000000000	-1.8482470017796
27.100000000000	-1.8425345457927
27.102000000000	-1.8368259512509
27.104000000000	-1.8311212547020
27.106000000000	-1.8254204927816
27.108000000000	-1.8197237022126
27.110000000000	-1.8140309198053
27.112000000000	-1.8083421824566
27.114000000000	-1.8026575271504
27.116000000000	-1.7969769909565
27.118000000000	-1.7913006110308
27.120000000000	-1.7856284246147
27.122000000000	-1.7799604690352
27.124000000000	-1.7742967817040
27.126000000000	-1.7686374001175
27.128000000000	-1.7629823618565
27.130000000000	-1.7573317045856
27.132000000000	-1.7516854660531
27.134000000000	-1.7460436840905
27.136000000000	-1.7404063966122
27.138000000000	-1.7347736416150
27.140000000000	-1.7291454571782
27.142000000000	-1.7235218814623
27.144000000000	-1.7179029527096
27.146000000000	-1.7122887092432
27.148000000000	-1.7066791894670
27.150000000000	-1.7010744318647
27.152000000000	-1.6954744750001
27.154000000000	-1.6898793575162
27.156000000000	-1.6842891181352
27.158000000000	-1.6787037956575
27.160000000000	-1.6731234289619
27.162000000000	-1.6675480570046
27.164000000000	-1.6619777188191
27.166000000000	-1.6564124535159
27.168000000000	-1.6508523002817
27.170000000000	-1.6452972983788
27.172000000000	-1.6397474871453
27.174000000000	-1.6342029059942
27.176000000000	-1.6286635944127
27.178000000000	-1.6231295919621
27.180000000000	-1.6176009382775
27.182000000000	-1.6120776730666
27.184000000000	-1.6065598361098
27.186000000000	-1.6010474672595
27.188000000000	-1.5955406064397
27.190000000000	-1.5900392936451
27.192000000000	-1.5845435689412
27.194000000000	-1.5790534724632
27.196000000000	-1.5735690444159
27.198000000000	-1.5680903250727
