#Parameters = {f_W=1; f_c=28; s_center=1; L=3.2; L_2=4.4; L_3=6.8; L_4=9.2; L_max=10.4; L_min=3.2; Nx=4; Ny=12; a=5.1815878889215; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=1.5; db_l=0.6; db_neck_l=2; db_w=1.05; eps_r=3.55; f0=27; fmax=32; fmin=22; gap_x=0.32398145937967; gap_y=0.2; grid_g=0.20430776944523; grid_l=0.89042014800579; grid_margin_x=0.16199072968983; grid_margin_y=0.10215388472261; grid_w=0.21046557384446; h1=0.762; h2=0.254; line_gap=0.25; m_l=0.666; m_w=0.7; mic_w=0.25; mu_r=1; pitch_x=1.2144016073855; pitch_y=0.41477334328969; rx_slot1=-1.5; rx_slot2=1.5; sigma_cu=58000000; slot_db_l=3.2; slot_end_r=0.15; slot_l=3.2; slot_neck_w=0.3; slot_w=0.4539; tanD=0.0027; total_stack_h=2.122; total_x=4.5336249701622; total_y=4.772972350031; ttdA_x0=-1.5; ttdA_x1=-2.0375; ttdA_x2=-2.0375; ttdA_x3=0; ttdA_x4=0; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.061; ttd_w=0.25; ttd_x1=-1.5; ttd_x2=-1.5; ttd_x3=0.575; ttd_x4=0.575; ttd_x5=0.2125; ttd_xc=-1.5; ttd_y1=-1.6; ttd_y2=-1.0625; ttd_y3=-1.0625; ttd_y4=0.975; ttd_y5=0.975; ttd_yc=0; ttd_zmax=1.07; ttd_zmid=1.061; ttd_zmin=1.052; tx_Nx=12; tx_Ny=4; tx_gap_y=0.32398145937967; tx_pitch_x=0.41477334328969; tx_pitch_y=1.2144016073855; tx_slot1=-1.5; tx_slot2=1.5; x_last_max=2.4288032147709; x_start=-2.4288032147709; y_start=-2.2843322902929; z_L1=0; z_L10=2.122; z_L2=0.018; z_L3=0.78; z_L4=0.798; z_L5=1.052; z_L6=1.07; z_L7=1.324; z_L8=1.342; z_L9=2.104; z_air_bot=-3; z_air_top=5.122}
#"Frequency / GHz"	"SZmax(1),Zmin(2) [Magnitude / dB]"
#-----------------------------------------------------
22.000000000000	-2.7154283594295
22.010000000000	-2.6742915225458
22.020000000000	-2.6333882166671
22.030000000000	-2.5927227594356
22.040000000000	-2.5522994602653
22.050000000000	-2.5121226179774
22.060000000000	-2.4721965183910
22.070000000000	-2.4325254318678
22.080000000000	-2.3931136108155
22.090000000000	-2.3539652871505
22.100000000000	-2.3150846697221
22.110000000000	-2.2764759417015
22.120000000000	-2.2381432579374
22.130000000000	-2.2000907422809
22.140000000000	-2.1623224848833
22.150000000000	-2.1248425394683
22.160000000000	-2.0876549205831
22.170000000000	-2.0507636008312
22.180000000000	-2.0141725080892
22.190000000000	-1.9778855227128
22.200000000000	-1.9419064747339
22.210000000000	-1.9062391410541
22.220000000000	-1.8708872426364
22.230000000000	-1.8358544417009
22.240000000000	-1.8011443389271
22.250000000000	-1.7667604706678
22.260000000000	-1.7327063061776
22.270000000000	-1.6989852448612
22.280000000000	-1.6656006135455
22.290000000000	-1.6325556637788
22.300000000000	-1.5998535691632
22.310000000000	-1.5674974227225
22.320000000000	-1.5354902343116
22.330000000000	-1.5038349280708
22.340000000000	-1.4725343399296
22.350000000000	-1.4415912151641
22.360000000000	-1.4110082060125
22.370000000000	-1.3807878693533
22.380000000000	-1.3509326644491
22.390000000000	-1.3214449507616
22.400000000000	-1.2923269858407
22.410000000000	-1.2635809232921
22.420000000000	-1.2352088108272
22.430000000000	-1.2072125883991
22.440000000000	-1.1795940864273
22.450000000000	-1.1523550241164
22.460000000000	-1.1254970078699
22.470000000000	-1.0990215298037
22.480000000000	-1.0729299663621
22.490000000000	-1.0472235770379
22.500000000000	-1.0219035032006
22.510000000000	-0.99697076703402
22.520000000000	-0.97242627058623
22.530000000000	-0.94827079493292
22.540000000000	-0.92450499945649
22.550000000000	-0.90112942124238
22.560000000000	-0.87814447459320
22.570000000000	-0.85555045066259
22.580000000000	-0.83334751720878
22.590000000000	-0.81153571846880
22.600000000000	-0.79011497515347
22.610000000000	-0.76908508456320
22.620000000000	-0.74844572082427
22.630000000000	-0.72819643524549
22.640000000000	-0.70833665679385
22.650000000000	-0.68886569268900
22.660000000000	-0.66978272911460
22.670000000000	-0.65108683204575
22.680000000000	-0.63277694819038
22.690000000000	-0.61485190604287
22.700000000000	-0.59731041704791
