#Parameters = {L=3.2; L_min=3.2; Nx=4; Ny=12; a=5.2011880517973; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=1.8; db_l=0.4; db_neck_l=1.536; db_w=1.05; eps_r=3.55; f0=27; f_W=1; f_c=28; fmax=32; fmin=22; gap_x=0.34025976432583; gap_y=0.2; grid_g=0.00027083493387229; grid_l=0.87497230754204; grid_w=0.43313893313808; h1=0.75870462188591; h2=0.25727377777767; l_1=1.313647173489; l_2=0.24630884502918; l_3=0.24630884502918; l_4=1.313647173489; l_5=0.24630884502918; l_6=0.24630884502918; l_7=0.24630884502918; l_8=1.313647173489; line_gap=0.25; m_l=0.70382246122097; m_w=0.41568172580541; mic_w=0.16420589668612; mu_r=1; pitch_x=1.2152320718679; pitch_y=0.43340976807195; rx_slot1=-1.8; rx_slot2=1.8; s_center=0.24630884502918; sigma_cu=58000000; slot_dumbbell_l=0.2; slot_dumbbell_w=0.604; slot_end_r=0.15; slot_l=2.336; slot_w=0.5; tanD=0.0027; total_stack_h=2.1219567993272; total_x=4.5206685231456; total_y=5.2006463819296; ttdA_x0=-1.8; ttdA_x1=-2.3375; ttdA_x2=-2.3375; ttdA_x3=-0.3; ttdA_x4=-0.3; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.0609783996636; ttd_w=0.16420589668612; ttd_x1=-1.8; ttd_x2=-1.8; ttd_x3=0.275; ttd_x4=0.275; ttd_x5=-0.0875; ttd_xc=-1.8; ttd_y1=-1.168; ttd_y2=-0.6305; ttd_y3=-0.6305; ttd_y4=1.407; ttd_y5=1.407; ttd_yc=0; ttd_zmax=1.0699783996636; ttd_zmid=1.0609783996636; ttd_zmin=1.0519783996636; tx_Nx=12; tx_Ny=4; tx_gap_y=0.34025976432583; tx_pitch_x=0.43340976807195; tx_pitch_y=1.2152320718679; tx_slot1=-1.8; tx_slot2=1.8; x_last_max=2.4304641437357; x_start=-2.4304641437357; y_start=-2.6003231909648; z_L1=0; z_L10=2.1219567993272; z_L2=0.018; z_L3=0.77670462188591; z_L4=0.79470462188591; z_L5=1.0519783996636; z_L6=1.0699783996636; z_L7=1.3272521774413; z_L8=1.3452521774413; z_L9=2.1039567993272; z_air_bot=-3; z_air_top=5.1219567993272}
#"Frequency / GHz"	"SZmax(1),Zmin(2) (1) [Phase / deg]"
#------------------------------------------------------
27.000000000000	-35.020344785516
27.002000000000	-35.162548524852
27.004000000000	-35.304792539315
27.006000000000	-35.447077213173
27.008000000000	-35.589402929669
27.010000000000	-35.731770071006
27.012000000000	-35.874179018356
27.014000000000	-36.016630151850
27.016000000000	-36.159123850584
27.018000000000	-36.301660492611
27.020000000000	-36.444240454945
27.022000000000	-36.586864113555
27.024000000000	-36.729531843366
27.026000000000	-36.872244018257
27.028000000000	-37.015001011058
27.030000000000	-37.157803193548
27.032000000000	-37.300650936457
27.034000000000	-37.443544609460
27.036000000000	-37.586484581176
27.038000000000	-37.729471219167
27.040000000000	-37.872504889937
27.042000000000	-38.015585958928
27.044000000000	-38.158714790519
27.046000000000	-38.301891748024
27.048000000000	-38.445117193690
27.050000000000	-38.588391488695
27.052000000000	-38.731714993145
27.054000000000	-38.875088066073
27.056000000000	-39.018511065436
27.058000000000	-39.161984348114
27.060000000000	-39.305508269907
27.062000000000	-39.449083185530
27.064000000000	-39.592709448617
27.066000000000	-39.736387411712
27.068000000000	-39.880117426271
27.070000000000	-40.023899842658
27.072000000000	-40.167735010143
27.074000000000	-40.311623276898
27.076000000000	-40.455564989997
27.078000000000	-40.599560495411
27.080000000000	-40.743610138007
27.082000000000	-40.887714261545
27.084000000000	-41.031873208676
27.086000000000	-41.176087320937
27.088000000000	-41.320356938752
27.090000000000	-41.464682401424
27.092000000000	-41.609064047137
27.094000000000	-41.753502212954
27.096000000000	-41.897997234806
27.098000000000	-42.042549447500
27.100000000000	-42.187159184708
27.102000000000	-42.331826778968
27.104000000000	-42.476552561679
27.106000000000	-42.621336863100
27.108000000000	-42.766180012345
27.110000000000	-42.911082337380
27.112000000000	-43.056044165022
27.114000000000	-43.201065820934
27.116000000000	-43.346147629623
27.118000000000	-43.491289914434
27.120000000000	-43.636492997551
27.122000000000	-43.781757199990
27.124000000000	-43.927082841599
27.126000000000	-44.072470241050
27.128000000000	-44.217919715842
27.130000000000	-44.363431582292
27.132000000000	-44.509006155534
27.134000000000	-44.654643749515
27.136000000000	-44.800344676992
27.138000000000	-44.946109249529
27.140000000000	-45.091937777491
27.142000000000	-45.237830570043
27.144000000000	-45.383787935146
27.146000000000	-45.529810179551
27.148000000000	-45.675897608800
27.150000000000	-45.822050527216
27.152000000000	-45.968269237905
27.154000000000	-46.114554042748
27.156000000000	-46.260905242402
27.158000000000	-46.407323136291
27.160000000000	-46.553808022603
27.162000000000	-46.700360198291
27.164000000000	-46.846979959065
27.166000000000	-46.993667599385
27.168000000000	-47.140423412465
27.170000000000	-47.287247690262
27.172000000000	-47.434140723477
27.174000000000	-47.581102801546
27.176000000000	-47.728134212641
27.178000000000	-47.875235243661
27.180000000000	-48.022406180233
27.182000000000	-48.169647306702
27.184000000000	-48.316958906133
27.186000000000	-48.464341260301
27.188000000000	-48.611794649691
27.190000000000	-48.759319353494
27.192000000000	-48.906915649597
27.194000000000	-49.054583814584
27.196000000000	-49.202324123733
27.198000000000	-49.350136851006
27.200000000000	-49.498022269048
27.202000000000	-49.645980649183
27.204000000000	-49.794012261407
