Rotation_deg,MedianMagnitude_dB,MinimumMagnitude_dB,MaximumMagnitude_dB,MedianLossFrom0deg_dB,MaximumPhaseChangeFrom0deg_deg
0,-0.83790448618785,-1.0081621944522,-0.76264849590001,0,3.05957503201568e-15
15,-1.13849526485781,-1.30866935699003,-1.06407369881462,-0.300590778669958,0.0055905582972581
30,-2.08614196790066,-2.25621950700551,-2.01268393336487,-1.24823748171281,0.0120446713582932
45,-3.84621276475075,-4.01615840747903,-3.77407097572346,-3.0083082785629,0.0208588894130358
60,-6.8550546522889,-7.02477183697915,-6.78519276824547,-6.01715016610105,0.0361193786438117
75,-12.5705463551285,-12.7396393366188,-12.5069139370357,-11.7326418689407,0.0777718632166193
