#Parameters = {L=3.2; L_min=3.2; Nx=4; Ny=12; a=5.2011880517973; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=1.8; db_l=0.4; db_neck_l=1.536; db_w=1.05; eps_r=3.55; f0=27; f_W=1; f_c=28; fmax=32; fmin=22; gap_x=0.34025976432583; gap_y=0.2; grid_g=0.00027083493387229; grid_l=0.87497230754204; grid_w=0.43313893313808; h1=0.75870462188591; h2=0.25727377777767; l_1=1.313647173489; l_2=0.24630884502918; l_3=0; l_4=0; l_5=0.24630884502918; l_6=0; l_7=0; l_8=0; line_gap=0.25; m_l=0.70382246122097; m_w=0.41568172580541; mic_w=0.16420589668612; mu_r=1; pitch_x=1.2152320718679; pitch_y=0.43340976807195; rx_slot1=-1.8; rx_slot2=1.8; s_center=0.24630884502918; sigma_cu=58000000; slot_dumbbell_l=0.2; slot_dumbbell_w=0.604; slot_end_r=0.15; slot_l=2.336; slot_w=0.5; tanD=0.0027; total_stack_h=2.1219567993272; total_x=4.5206685231456; total_y=5.2006463819296; ttdA_x0=-1.8; ttdA_x1=-2.3375; ttdA_x2=-2.3375; ttdA_x3=-0.3; ttdA_x4=-0.3; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.0609783996636; ttd_w=0.16420589668612; ttd_x1=-1.8; ttd_x2=-1.8; ttd_x3=0.275; ttd_x4=0.275; ttd_x5=-0.0875; ttd_xc=-1.8; ttd_y1=-1.168; ttd_y2=-0.6305; ttd_y3=-0.6305; ttd_y4=1.407; ttd_y5=1.407; ttd_yc=0; ttd_zmax=1.0699783996636; ttd_zmid=1.0609783996636; ttd_zmin=1.0519783996636; tx_Nx=12; tx_Ny=4; tx_gap_y=0.34025976432583; tx_pitch_x=0.43340976807195; tx_pitch_y=1.2152320718679; tx_slot1=-1.8; tx_slot2=1.8; x_last_max=2.4304641437357; x_start=-2.4304641437357; y_start=-2.6003231909648; z_L1=0; z_L10=2.1219567993272; z_L2=0.018; z_L3=0.77670462188591; z_L4=0.79470462188591; z_L5=1.0519783996636; z_L6=1.0699783996636; z_L7=1.3272521774413; z_L8=1.3452521774413; z_L9=2.1039567993272; z_air_bot=-3; z_air_top=5.1219567993272}
#"Frequency / GHz"	"SZmax(1),Zmin(2) [Phase / deg]"
#--------------------------------------------------
27.000000000000	-176.11995420198
27.002000000000	-176.25642588427
27.004000000000	-176.39285013164
27.006000000000	-176.52922727127
27.008000000000	-176.66555763066
27.010000000000	-176.80184153766
27.012000000000	-176.93807932037
27.014000000000	-177.07427130724
27.016000000000	-177.21041782699
27.018000000000	-177.34651920863
27.020000000000	-177.48257578146
27.022000000000	-177.61858787503
27.024000000000	-177.75455581918
27.026000000000	-177.89047994402
27.028000000000	-178.02636057990
27.030000000000	-178.16219805741
27.032000000000	-178.29799270741
27.034000000000	-178.43374486098
27.036000000000	-178.56945484944
27.038000000000	-178.70512300432
27.040000000000	-178.84074965740
27.042000000000	-178.97633514064
27.044000000000	-179.11187978624
27.046000000000	-179.24738392656
27.048000000000	-179.38284789421
27.050000000000	-179.51827202194
27.052000000000	-179.65365664272
27.054000000000	-179.78900208968
27.056000000000	-179.92430869614
27.058000000000	179.94042320443
27.060000000000	179.80519327838
27.062000000000	179.67000119191
27.064000000000	179.53484661109
27.066000000000	179.39972920179
27.068000000000	179.26464862980
27.070000000000	179.12960456074
27.072000000000	178.99459666010
27.074000000000	178.85962459325
27.076000000000	178.72468802545
27.078000000000	178.58978662182
27.080000000000	178.45492004741
27.082000000000	178.32008796712
27.084000000000	178.18529004579
27.086000000000	178.05052594814
27.088000000000	177.91579533881
27.090000000000	177.78109788236
27.092000000000	177.64643324326
27.094000000000	177.51180108591
27.096000000000	177.37720107464
27.098000000000	177.24263287373
27.100000000000	177.10809614738
27.102000000000	176.97359055973
27.104000000000	176.83911577490
27.106000000000	176.70467145693
27.108000000000	176.57025726984
27.110000000000	176.43587287761
27.112000000000	176.30151794418
27.114000000000	176.16719213348
27.116000000000	176.03289510939
27.118000000000	175.89862653580
27.120000000000	175.76438607657
27.122000000000	175.63017339555
27.124000000000	175.49598815661
27.126000000000	175.36183002357
27.128000000000	175.22769866031
27.130000000000	175.09359373068
27.132000000000	174.95951489855
27.134000000000	174.82546182783
27.136000000000	174.69143418241
27.138000000000	174.55743162625
27.140000000000	174.42345382331
27.142000000000	174.28950043760
27.144000000000	174.15557113315
27.146000000000	174.02166557404
27.148000000000	173.88778342442
27.150000000000	173.75392434845
27.152000000000	173.62008801037
27.154000000000	173.48627407448
27.156000000000	173.35248220514
27.158000000000	173.21871206676
27.160000000000	173.08496332384
27.162000000000	172.95123564095
27.164000000000	172.81752868273
27.166000000000	172.68384211392
27.168000000000	172.55017559933
27.170000000000	172.41652880386
27.172000000000	172.28290139252
27.174000000000	172.14929303041
27.176000000000	172.01570338272
27.178000000000	171.88213211476
27.180000000000	171.74857889194
27.182000000000	171.61504337980
27.184000000000	171.48152524398
27.186000000000	171.34802415024
27.188000000000	171.21453976448
27.190000000000	171.08107175271
27.192000000000	170.94761978108
27.194000000000	170.81418351587
27.196000000000	170.68076262352
27.198000000000	170.54735677058
27.200000000000	170.41396562377
27.202000000000	170.28058884995
27.204000000000	170.14722611613
27.206000000000	170.01387708950
27.208000000000	169.88054143737
27.210000000000	169.74721882725
27.212000000000	169.61390892680
27.214000000000	169.48061140386
27.216000000000	169.34732592643
27.218000000000	169.21405216270
27.220000000000	169.08078978104
27.222000000000	168.94753845001
27.224000000000	168.81429783834
27.226000000000	168.68106761497
27.228000000000	168.54784744903
27.230000000000	168.41463700984
27.232000000000	168.28143596693
27.234000000000	168.14824399004
27.236000000000	168.01506074910
27.238000000000	167.88188591427
27.240000000000	167.74871915593
27.242000000000	167.61556014465
27.244000000000	167.48240855126
27.246000000000	167.34926404677
27.248000000000	167.21612630246
27.250000000000	167.08299498983
27.252000000000	166.94986978060
27.254000000000	166.81675034674
27.256000000000	166.68363636046
27.258000000000	166.55052749422
27.260000000000	166.41742342072
27.262000000000	166.28432381292
27.264000000000	166.15122834403
27.266000000000	166.01813668751
27.268000000000	165.88504851710
27.270000000000	165.75196350678
27.272000000000	165.61888133082
27.274000000000	165.48580166376
27.276000000000	165.35272418039
27.278000000000	165.21964855580
27.280000000000	165.08657446535
27.282000000000	164.95350158470
27.284000000000	164.82042958977
