#Parameters = {L=3.2; L_min=3.2; Nx=4; Ny=12; a=5.2011880517973; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=1.8; db_l=0.4; db_neck_l=1.536; db_w=1.05; eps_r=3.55; f0=27; f_W=1; f_c=28; fmax=32; fmin=22; gap_x=0.34025976432583; gap_y=0.2; grid_g=0.00027083493387229; grid_l=0.87497230754204; grid_w=0.43313893313808; h1=0.75870462188591; h2=0.25727377777767; l_1=1.313647173489; l_2=0.24630884502918; l_3=0; l_4=0; l_5=0.24630884502918; l_6=0.49261769005836; l_7=0; l_8=0; line_gap=0.25; m_l=0.70382246122097; m_w=0.41568172580541; mic_w=0.16420589668612; mu_r=1; pitch_x=1.2152320718679; pitch_y=0.43340976807195; rx_slot1=-1.8; rx_slot2=1.8; s_center=0.24630884502918; sigma_cu=58000000; slot_dumbbell_l=0.2; slot_dumbbell_w=0.604; slot_end_r=0.15; slot_l=2.336; slot_w=0.5; tanD=0.0027; total_stack_h=2.1219567993272; total_x=4.5206685231456; total_y=5.2006463819296; ttdA_x0=-1.8; ttdA_x1=-2.3375; ttdA_x2=-2.3375; ttdA_x3=-0.3; ttdA_x4=-0.3; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.0609783996636; ttd_w=0.16420589668612; ttd_x1=-1.8; ttd_x2=-1.8; ttd_x3=0.275; ttd_x4=0.275; ttd_x5=-0.0875; ttd_xc=-1.8; ttd_y1=-1.168; ttd_y2=-0.6305; ttd_y3=-0.6305; ttd_y4=1.407; ttd_y5=1.407; ttd_yc=0; ttd_zmax=1.0699783996636; ttd_zmid=1.0609783996636; ttd_zmin=1.0519783996636; tx_Nx=12; tx_Ny=4; tx_gap_y=0.34025976432583; tx_pitch_x=0.43340976807195; tx_pitch_y=1.2152320718679; tx_slot1=-1.8; tx_slot2=1.8; x_last_max=2.4304641437357; x_start=-2.4304641437357; y_start=-2.6003231909648; z_L1=0; z_L10=2.1219567993272; z_L2=0.018; z_L3=0.77670462188591; z_L4=0.79470462188591; z_L5=1.0519783996636; z_L6=1.0699783996636; z_L7=1.3272521774413; z_L8=1.3452521774413; z_L9=2.1039567993272; z_air_bot=-3; z_air_top=5.1219567993272}
#"Frequency / GHz"	"SZmax(1),Zmin(2) (206) [Magnitude / dB]"
#-----------------------------------------------------------
27.000000000000	-2.2482826303708
27.002000000000	-2.2473105711036
27.004000000000	-2.2463298932763
27.006000000000	-2.2453406117382
27.008000000000	-2.2443427414156
27.010000000000	-2.2433362973119
27.012000000000	-2.2423212945078
27.014000000000	-2.2412977481612
27.016000000000	-2.2402656735077
27.018000000000	-2.2392250858604
27.020000000000	-2.2381760006101
27.022000000000	-2.2371184332257
27.024000000000	-2.2360523992538
27.026000000000	-2.2349779143196
27.028000000000	-2.2338949941261
27.030000000000	-2.2328036544551
27.032000000000	-2.2317039111668
27.034000000000	-2.2305957802003
27.036000000000	-2.2294792775732
27.038000000000	-2.2283544193824
27.040000000000	-2.2272212218039
27.042000000000	-2.2260797010928
27.044000000000	-2.2249298735839
27.046000000000	-2.2237717556913
27.048000000000	-2.2226053639089
27.050000000000	-2.2214307148105
27.052000000000	-2.2202478250500
27.054000000000	-2.2190567113612
27.056000000000	-2.2178573905584
27.058000000000	-2.2166498795364
27.060000000000	-2.2154341952705
27.062000000000	-2.2142103548167
27.064000000000	-2.2129783753120
27.066000000000	-2.2117382739746
27.068000000000	-2.2104900681036
27.070000000000	-2.2092337750798
27.072000000000	-2.2079694123653
27.074000000000	-2.2066969975041
27.076000000000	-2.2054165481218
27.078000000000	-2.2041280819263
27.080000000000	-2.2028316167073
27.082000000000	-2.2015271703372
27.084000000000	-2.2002147607706
27.086000000000	-2.1988944060449
27.088000000000	-2.1975661242803
27.090000000000	-2.1962299336799
27.092000000000	-2.1948858525300
27.094000000000	-2.1935338992001
27.096000000000	-2.1921740921433
27.098000000000	-2.1908064498963
27.100000000000	-2.1894309910794
27.102000000000	-2.1880477343972
27.104000000000	-2.1866566986381
27.106000000000	-2.1852579026750
27.108000000000	-2.1838513654653
27.110000000000	-2.1824371060507
27.112000000000	-2.1810151435582
27.114000000000	-2.1795854971993
27.116000000000	-2.1781481862709
27.118000000000	-2.1767032301553
27.120000000000	-2.1752506483199
27.122000000000	-2.1737904603182
27.124000000000	-2.1723226857893
27.126000000000	-2.1708473444583
27.128000000000	-2.1693644561364
27.130000000000	-2.1678740407215
27.132000000000	-2.1663761181975
27.134000000000	-2.1648707086355
27.136000000000	-2.1633578321931
27.138000000000	-2.1618375091152
27.140000000000	-2.1603097597337
27.142000000000	-2.1587746044681
27.144000000000	-2.1572320638254
27.146000000000	-2.1556821584004
27.148000000000	-2.1541249088756
27.150000000000	-2.1525603360218
27.152000000000	-2.1509884606982
27.154000000000	-2.1494093038523
