#Parameters = {l_1=1.313647173489; l_2=0.24630884502918; l_3=0.24630884502918; l_4=1.4778530701751; l_5=0.24630884502918; l_6=1.4778530701751; l_7=0.24630884502918; l_8=0.24630884502918; L=3.2; L_min=3.2; Nx=4; Ny=12; a=5.2335643405167; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=1.8; db_l=0.4; db_neck_l=1.536; db_w=1.05; eps_r=3.55; f0=27; f_W=1; f_c=28; fmax=32; fmin=22; gap_x=0.36129502206971; gap_y=0.2; grid_g=0.0027613186815184; grid_l=0.85677230754204; grid_w=0.43313893313808; h1=0.75870462188591; h2=0.25727377777767; line_gap=0.25; m_l=0.76085228097904; m_w=0.42924513420269; mic_w=0.16420589668612; mu_r=1; pitch_x=1.2180673296117; pitch_y=0.4359002518196; rx_slot1=-1.8; rx_slot2=1.8; s_center=0.24630884502918; sigma_cu=58000000; slot_dumbbell_l=0.2; slot_dumbbell_w=0.604; slot_end_r=0.15; slot_l=2.336; slot_w=0.5; tanD=0.0027; total_stack_h=2.1219567993272; total_x=4.5109742963773; total_y=5.2280417031537; ttdA_x0=-1.8; ttdA_x1=-2.3375; ttdA_x2=-2.3375; ttdA_x3=-0.3; ttdA_x4=-0.3; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.0609783996636; ttd_w=0.16420589668612; ttd_x1=-1.8; ttd_x2=-1.8; ttd_x3=0.275; ttd_x4=0.275; ttd_x5=-0.0875; ttd_xc=-1.8; ttd_y1=-1.168; ttd_y2=-0.6305; ttd_y3=-0.6305; ttd_y4=1.407; ttd_y5=1.407; ttd_yc=0; ttd_zmax=1.0699783996636; ttd_zmid=1.0609783996636; ttd_zmin=1.0519783996636; tx_Nx=12; tx_Ny=4; tx_gap_y=0.36129502206971; tx_pitch_x=0.4359002518196; tx_pitch_y=1.2180673296117; tx_slot1=-1.8; tx_slot2=1.8; x_last_max=2.4361346592235; x_start=-2.4361346592235; y_start=-2.6140208515768; z_L1=0; z_L10=2.1219567993272; z_L2=0.018; z_L3=0.77670462188591; z_L4=0.79470462188591; z_L5=1.0519783996636; z_L6=1.0699783996636; z_L7=1.3272521774413; z_L8=1.3452521774413; z_L9=2.1039567993272; z_air_bot=-3; z_air_top=5.1219567993272}
#"Frequency / GHz"	"SZmax(1),Zmin(2) (7) [Phase / deg]"
#------------------------------------------------------
27.000000000000	-92.382544091016
27.002000000000	-92.561460231338
27.004000000000	-92.740510308506
27.006000000000	-92.919693723130
27.008000000000	-93.099009872464
27.010000000000	-93.278458150428
27.012000000000	-93.458037947615
27.014000000000	-93.637748651318
27.016000000000	-93.817589645544
27.018000000000	-93.997560311030
27.020000000000	-94.177660025267
27.022000000000	-94.357888162513
27.024000000000	-94.538244093817
27.026000000000	-94.718727187035
27.028000000000	-94.899336806854
27.030000000000	-95.080072314809
27.032000000000	-95.260933069305
27.034000000000	-95.441918425639
27.036000000000	-95.623027736021
27.038000000000	-95.804260349593
27.040000000000	-95.985615612459
27.042000000000	-96.167092867700
27.044000000000	-96.348691455398
27.046000000000	-96.530410712663
27.048000000000	-96.712249973657
27.050000000000	-96.894208569612
27.052000000000	-97.076285828862
27.054000000000	-97.258481076860
27.056000000000	-97.440793636213
27.058000000000	-97.623222826698
27.060000000000	-97.805767965293
27.062000000000	-97.988428366203
27.064000000000	-98.171203340886
27.066000000000	-98.354092198078
27.068000000000	-98.537094243825
27.070000000000	-98.720208781506
27.072000000000	-98.903435111862
27.074000000000	-99.086772533029
27.076000000000	-99.270220340559
27.078000000000	-99.453777827455
27.080000000000	-99.637444284197
27.082000000000	-99.821218998776
27.084000000000	-100.00510125672
27.086000000000	-100.18909034112
27.088000000000	-100.37318553267
27.090000000000	-100.55738610971
27.092000000000	-100.74169134821
27.094000000000	-100.92610052186
27.096000000000	-101.11061290206
27.098000000000	-101.29522775798
27.100000000000	-101.47994435657
27.102000000000	-101.66476196261
27.104000000000	-101.84967983872
27.106000000000	-102.03469724545
27.108000000000	-102.21981344122
27.110000000000	-102.40502768245
27.112000000000	-102.59033922354
27.114000000000	-102.77574731691
27.116000000000	-102.96125121305
27.118000000000	-103.14685016054
27.120000000000	-103.33254340611
27.122000000000	-103.51833019464
27.124000000000	-103.70420976921
27.126000000000	-103.89018137118
27.128000000000	-104.07624424014
27.130000000000	-104.26239761403
27.132000000000	-104.44864072912
27.134000000000	-104.63497282009
27.136000000000	-104.82139312003
27.138000000000	-105.00790086050
27.140000000000	-105.19449527157
27.142000000000	-105.38117558186
27.144000000000	-105.56794101854
27.146000000000	-105.75479080742
27.148000000000	-105.94172417298
27.150000000000	-106.12874033838
27.152000000000	-106.31583852551
27.154000000000	-106.50301795507
27.156000000000	-106.69027784655
27.158000000000	-106.87761741830
27.160000000000	-107.06503588758
27.162000000000	-107.25253247058
27.164000000000	-107.44010638246
27.166000000000	-107.62775683743
