#Parameters = {L=3.2; L_min=3.2; Nx=4; Ny=12; a=5.2011880517973; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=1.8; db_l=0.4; db_neck_l=1.536; db_w=1.05; eps_r=3.55; f0=27; f_W=1; f_c=28; fmax=32; fmin=22; gap_x=0.34025976432583; gap_y=0.2; grid_g=0.00027083493387229; grid_l=0.87497230754204; grid_w=0.43313893313808; h1=0.75870462188591; h2=0.25727377777767; l_1=0.4105147417153; l_2=0.24630884502918; l_3=0; l_4=0; l_5=0.24630884502918; l_6=0.32841179337224; l_7=0; l_8=0; line_gap=0.25; m_l=0.70382246122097; m_w=0.41568172580541; mic_w=0.16420589668612; mu_r=1; pitch_x=1.2152320718679; pitch_y=0.43340976807195; rx_slot1=-1.8; rx_slot2=1.8; s_center=0.24630884502918; sigma_cu=58000000; slot_dumbbell_l=0.2; slot_dumbbell_w=0.604; slot_end_r=0.15; slot_l=2.336; slot_w=0.5; tanD=0.0027; total_stack_h=2.1219567993272; total_x=4.5206685231456; total_y=5.2006463819296; ttdA_x0=-1.8; ttdA_x1=-2.3375; ttdA_x2=-2.3375; ttdA_x3=-0.3; ttdA_x4=-0.3; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.0609783996636; ttd_w=0.16420589668612; ttd_x1=-1.8; ttd_x2=-1.8; ttd_x3=0.275; ttd_x4=0.275; ttd_x5=-0.0875; ttd_xc=-1.8; ttd_y1=-1.168; ttd_y2=-0.6305; ttd_y3=-0.6305; ttd_y4=1.407; ttd_y5=1.407; ttd_yc=0; ttd_zmax=1.0699783996636; ttd_zmid=1.0609783996636; ttd_zmin=1.0519783996636; tx_Nx=12; tx_Ny=4; tx_gap_y=0.34025976432583; tx_pitch_x=0.43340976807195; tx_pitch_y=1.2152320718679; tx_slot1=-1.8; tx_slot2=1.8; x_last_max=2.4304641437357; x_start=-2.4304641437357; y_start=-2.6003231909648; z_L1=0; z_L10=2.1219567993272; z_L2=0.018; z_L3=0.77670462188591; z_L4=0.79470462188591; z_L5=1.0519783996636; z_L6=1.0699783996636; z_L7=1.3272521774413; z_L8=1.3452521774413; z_L9=2.1039567993272; z_air_bot=-3; z_air_top=5.1219567993272}
#"Frequency / GHz"	"SZmax(1),Zmin(2) (50) [Magnitude / dB]"
#----------------------------------------------------------
27.000000000000	-1.5872543449948
27.002000000000	-1.5823955824845
27.004000000000	-1.5775443759810
27.006000000000	-1.5727007530683
27.008000000000	-1.5678647413162
27.010000000000	-1.5630363682802
27.012000000000	-1.5582156615010
27.014000000000	-1.5534026485036
27.016000000000	-1.5485973567967
27.018000000000	-1.5437998138723
27.020000000000	-1.5390100472052
27.022000000000	-1.5342280842519
27.024000000000	-1.5294539524504
27.026000000000	-1.5246876792196
27.028000000000	-1.5199292919585
27.030000000000	-1.5151788180456
27.032000000000	-1.5104362848384
27.034000000000	-1.5057017196726
27.036000000000	-1.5009751498618
27.038000000000	-1.4962566026965
27.040000000000	-1.4915461054438
27.042000000000	-1.4868436853464
27.044000000000	-1.4821493696225
27.046000000000	-1.4774631854646
27.048000000000	-1.4727851600392
27.050000000000	-1.4681153204863
27.052000000000	-1.4634536939182
27.054000000000	-1.4588003074194
27.056000000000	-1.4541551880460
27.058000000000	-1.4495183628244
27.060000000000	-1.4448898587516
27.062000000000	-1.4402697027935
27.064000000000	-1.4356579218854
27.066000000000	-1.4310545429302
27.068000000000	-1.4264595927988
27.070000000000	-1.4218730983286
27.072000000000	-1.4172950863233
27.074000000000	-1.4127255835524
27.076000000000	-1.4081646167499
27.078000000000	-1.4036122126144
27.080000000000	-1.3990683978078
27.082000000000	-1.3945331989551
27.084000000000	-1.3900066426435
27.086000000000	-1.3854887554217
27.088000000000	-1.3809795637996
27.090000000000	-1.3764790942472
27.092000000000	-1.3719873731939
27.094000000000	-1.3675044270284
27.096000000000	-1.3630302820975
27.098000000000	-1.3585649647056
27.100000000000	-1.3541085011138
27.102000000000	-1.3496609175399
27.104000000000	-1.3452222401570
27.106000000000	-1.3407924950930
27.108000000000	-1.3363717084302
27.110000000000	-1.3319599062044
27.112000000000	-1.3275571144041
27.114000000000	-1.3231633589704
27.116000000000	-1.3187786657955
27.118000000000	-1.3144030607224
27.120000000000	-1.3100365695447
27.122000000000	-1.3056792180048
27.124000000000	-1.3013310317945
27.126000000000	-1.2969920365532
27.128000000000	-1.2926622578681
27.130000000000	-1.2883417212726
27.132000000000	-1.2840304522467
27.134000000000	-1.2797284762154
27.136000000000	-1.2754358185483
27.138000000000	-1.2711525045591
27.140000000000	-1.2668785595047
27.142000000000	-1.2626140085848
27.144000000000	-1.2583588769405
27.146000000000	-1.2541131896545
27.148000000000	-1.2498769717499
27.150000000000	-1.2456502481894
27.152000000000	-1.2414330438752
27.154000000000	-1.2372253836475
27.156000000000	-1.2330272922845
27.158000000000	-1.2288387945013
27.160000000000	-1.2246599149494
27.162000000000	-1.2204906782159
27.164000000000	-1.2163311088227
27.166000000000	-1.2121812312262
27.168000000000	-1.2080410698162
