#Parameters = {L=3.2; L_min=3.2; Nx=4; Ny=12; a=5.2011880517973; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=1.8; db_l=0.4; db_neck_l=1.536; db_w=1.05; eps_r=3.55; f0=27; f_W=1; f_c=28; fmax=32; fmin=22; gap_x=0.34025976432583; gap_y=0.2; grid_g=0.00027083493387229; grid_l=0.87497230754204; grid_w=0.43313893313808; h1=0.75870462188591; h2=0.25727377777767; l_1=1.313647173489; l_2=0.24630884502918; l_3=0.24630884502918; l_4=1.313647173489; l_5=0.24630884502918; l_6=1.313647173489; l_7=0.24630884502918; l_8=1.313647173489; line_gap=0.25; m_l=0.70382246122097; m_w=0.41568172580541; mic_w=0.16420589668612; mu_r=1; pitch_x=1.2152320718679; pitch_y=0.43340976807195; rx_slot1=-1.8; rx_slot2=1.8; s_center=0.24630884502918; sigma_cu=58000000; slot_dumbbell_l=0.2; slot_dumbbell_w=0.604; slot_end_r=0.15; slot_l=2.336; slot_w=0.5; tanD=0.0027; total_stack_h=2.1219567993272; total_x=4.5206685231456; total_y=5.2006463819296; ttdA_x0=-1.8; ttdA_x1=-2.3375; ttdA_x2=-2.3375; ttdA_x3=-0.3; ttdA_x4=-0.3; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.0609783996636; ttd_w=0.16420589668612; ttd_x1=-1.8; ttd_x2=-1.8; ttd_x3=0.275; ttd_x4=0.275; ttd_x5=-0.0875; ttd_xc=-1.8; ttd_y1=-1.168; ttd_y2=-0.6305; ttd_y3=-0.6305; ttd_y4=1.407; ttd_y5=1.407; ttd_yc=0; ttd_zmax=1.0699783996636; ttd_zmid=1.0609783996636; ttd_zmin=1.0519783996636; tx_Nx=12; tx_Ny=4; tx_gap_y=0.34025976432583; tx_pitch_x=0.43340976807195; tx_pitch_y=1.2152320718679; tx_slot1=-1.8; tx_slot2=1.8; x_last_max=2.4304641437357; x_start=-2.4304641437357; y_start=-2.6003231909648; z_L1=0; z_L10=2.1219567993272; z_L2=0.018; z_L3=0.77670462188591; z_L4=0.79470462188591; z_L5=1.0519783996636; z_L6=1.0699783996636; z_L7=1.3272521774413; z_L8=1.3452521774413; z_L9=2.1039567993272; z_air_bot=-3; z_air_top=5.1219567993272}
#"Frequency / GHz"	"SZmax(1),Zmin(2) (1) [Phase / deg]"
#------------------------------------------------------
27.000000000000	-156.96332540281
27.002000000000	-157.16563852169
27.004000000000	-157.36784526120
27.006000000000	-157.56994537517
27.008000000000	-157.77193862525
27.010000000000	-157.97382478095
27.012000000000	-158.17560361957
27.014000000000	-158.37727492618
27.016000000000	-158.57883849359
27.018000000000	-158.78029412232
27.020000000000	-158.98164162058
27.022000000000	-159.18288080419
27.024000000000	-159.38401149663
27.026000000000	-159.58503352893
27.028000000000	-159.78594673966
27.030000000000	-159.98675097494
27.032000000000	-160.18744608832
27.034000000000	-160.38803194084
27.036000000000	-160.58850840092
27.038000000000	-160.78887534437
27.040000000000	-160.98913265433
27.042000000000	-161.18928022127
27.044000000000	-161.38931794288
27.046000000000	-161.58924572414
27.048000000000	-161.78906347718
27.050000000000	-161.98877112132
27.052000000000	-162.18836858297
27.054000000000	-162.38785579565
27.056000000000	-162.58723269993
27.058000000000	-162.78649924336
27.060000000000	-162.98565538050
27.062000000000	-163.18470107281
27.064000000000	-163.38363628865
27.066000000000	-163.58246100325
27.068000000000	-163.78117519865
27.070000000000	-163.97977886366
27.072000000000	-164.17827199383
27.074000000000	-164.37665459141
27.076000000000	-164.57492666531
27.078000000000	-164.77308823105
27.080000000000	-164.97113931073
27.082000000000	-165.16907993300
27.084000000000	-165.36691013299
27.086000000000	-165.56462995229
27.088000000000	-165.76223943892
27.090000000000	-165.95973864725
27.092000000000	-166.15712763800
27.094000000000	-166.35440647818
27.096000000000	-166.55157524105
27.098000000000	-166.74863400607
27.100000000000	-166.94558285889
27.102000000000	-167.14242189126
27.104000000000	-167.33915120103
27.106000000000	-167.53577089210
27.108000000000	-167.73228107433
27.110000000000	-167.92868186360
27.112000000000	-168.12497338166
27.114000000000	-168.32115575615
27.116000000000	-168.51722912054
27.118000000000	-168.71319361409
27.120000000000	-168.90904938182
27.122000000000	-169.10479657443
27.124000000000	-169.30043534831
27.126000000000	-169.49596586545
27.128000000000	-169.69138829342
27.130000000000	-169.88670280535
27.132000000000	-170.08190957983
27.134000000000	-170.27700880092
27.136000000000	-170.47200065808
27.138000000000	-170.66688534615
27.140000000000	-170.86166306527
27.142000000000	-171.05633402089
27.144000000000	-171.25089842367
27.146000000000	-171.44535648948
27.148000000000	-171.63970843935
27.150000000000	-171.83395449940
27.152000000000	-172.02809490084
27.154000000000	-172.22212987991
27.156000000000	-172.41605967780
27.158000000000	-172.60988454068
27.160000000000	-172.80360471960
27.162000000000	-172.99722047048
27.164000000000	-173.19073205404
27.166000000000	-173.38413973578
27.168000000000	-173.57744378594
27.170000000000	-173.77064447945
27.172000000000	-173.96374209587
27.174000000000	-174.15673691938
27.176000000000	-174.34962923872
27.178000000000	-174.54241934717
27.180000000000	-174.73510754246
27.182000000000	-174.92769412679
27.184000000000	-175.12017940674
27.186000000000	-175.31256369326
27.188000000000	-175.50484730160
27.190000000000	-175.69703055131
27.192000000000	-175.88911376615
27.194000000000	-176.08109727410
27.196000000000	-176.27298140726
27.198000000000	-176.46476650188
27.200000000000	-176.65645289825
27.202000000000	-176.84804094072
27.204000000000	-177.03953097760
27.206000000000	-177.23092336118
27.208000000000	-177.42221844764
27.210000000000	-177.61341659706
27.212000000000	-177.80451817332
27.214000000000	-177.99552354412
27.216000000000	-178.18643308089
27.218000000000	-178.37724715879
27.220000000000	-178.56796615664
27.222000000000	-178.75859045692
27.224000000000	-178.94912044568
27.226000000000	-179.13955651255
27.228000000000	-179.32989905066
27.230000000000	-179.52014845663
27.232000000000	-179.71030513053
27.234000000000	-179.90036947582
27.236000000000	179.90965810065
27.238000000000	179.71977718873
27.240000000000	179.52998737496
27.242000000000	179.34028824263
27.244000000000	179.15067937182
27.246000000000	178.96116033942
27.248000000000	178.77173071919
27.250000000000	178.58239008177
27.252000000000	178.39313799474
27.254000000000	178.20397402265
27.256000000000	178.01489772706
27.258000000000	177.82590866654
27.260000000000	177.63700639678
27.262000000000	177.44819047055
27.264000000000	177.25946043777
27.266000000000	177.07081584557
27.268000000000	176.88225623827
27.270000000000	176.69378115746
27.272000000000	176.50539014201
27.274000000000	176.31708272812
27.276000000000	176.12885844933
27.278000000000	175.94071683662
27.280000000000	175.75265741834
27.282000000000	175.56467972033
27.284000000000	175.37678326593
27.286000000000	175.18896757601
27.288000000000	175.00123216897
27.290000000000	174.81357656085
27.292000000000	174.62600026529
27.294000000000	174.43850279361
27.296000000000	174.25108365481
27.298000000000	174.06374235563
27.300000000000	173.87647840056
27.302000000000	173.68929129189
27.304000000000	173.50218052973
27.306000000000	173.31514561205
27.308000000000	173.12818603472
27.310000000000	172.94130129150
27.312000000000	172.75449087414
27.314000000000	172.56775427233
27.316000000000	172.38109097382
27.318000000000	172.19450046438
27.320000000000	172.00798222784
27.322000000000	171.82153574618
27.324000000000	171.63516049947
27.326000000000	171.44885596598
27.328000000000	171.26262162217
27.330000000000	171.07645694270
27.332000000000	170.89036140054
27.334000000000	170.70433446689
27.336000000000	170.51837561130
27.338000000000	170.33248430165
27.340000000000	170.14666000420
27.342000000000	169.96090218361
