#Parameters = {L=3.2; L_2=4.4; L_3=6.8; L_4=9.2; L_max=10.4; L_min=3.2; Nx=4; Ny=12; a=5.0729589590734; bend_r=0.15; cl1=0.5375; cl2=2.075; cl3=2.0375; cl4=0.3625; cl5=0; cl6=0; cl7=0; cl8=0; cu=0.018; d=0.99225; db_l=0.4; db_neck_l=2.4; db_w=1.05; eps_r=3.55; f0=27; f_W=1; f_c=28; fmax=32; fmin=22; gap_x=0.1768320121146; gap_y=0.2; grid_g=0.052693488694766; grid_l=1.0471997246251; grid_w=0.36566196717012; h1=0.762; h2=0.254; line_gap=0.25; m_l=0.4; m_w=0.7; mic_w=0.25; mu_r=1; pitch_x=1.2240317367397; pitch_y=0.41835545586489; rx_slot1=-0.99225; rx_slot2=0.99225; s_center=0.875; sigma_cu=58000000; slot_dumbbell_l=0.4; slot_dumbbell_w=0.7; slot_end_r=0.15; slot_l=3.2; slot_w=0.6; tanD=0.0027; total_stack_h=2.122; total_x=4.7192949348442; total_y=4.9675719816839; ttdA_x0=-0.99225; ttdA_x1=-1.52975; ttdA_x2=-1.52975; ttdA_x3=0.50775; ttdA_x4=0.50775; ttdA_y0=0; ttdA_y1=0; ttdA_y2=-2.075; ttdA_y3=-2.075; ttdA_y4=-1.7125; ttdA_z=1.061; ttd_w=0.25; ttd_x1=-0.99225; ttd_x2=-0.99225; ttd_x3=1.08275; ttd_x4=1.08275; ttd_x5=0.72025; ttd_xc=-0.99225; ttd_y1=-1.6; ttd_y2=-1.0625; ttd_y3=-1.0625; ttd_y4=0.975; ttd_y5=0.975; ttd_yc=0; ttd_zmax=1.07; ttd_zmid=1.061; ttd_zmin=1.052; tx_Nx=12; tx_Ny=4; tx_gap_y=0.1768320121146; tx_pitch_x=0.41835545586489; tx_pitch_y=1.2240317367397; tx_slot1=-0.99225; tx_slot2=0.99225; x_last_max=2.4480634734794; x_start=-2.4480634734794; y_start=-2.4837859908419; z_L1=0; z_L10=2.122; z_L2=0.018; z_L3=0.78; z_L4=0.798; z_L5=1.052; z_L6=1.07; z_L7=1.324; z_L8=1.342; z_L9=2.104; z_air_bot=-3; z_air_top=5.122}
#"Frequency / GHz"	"SZmax(1),Zmin(2) (25) [Phase / deg]"
#-------------------------------------------------------
22.000000000000	-131.22443825310
22.010000000000	-131.68969824396
22.020000000000	-132.15438495900
22.030000000000	-132.61849776550
22.040000000000	-133.08203608733
22.050000000000	-133.54499940455
22.060000000000	-134.00738725305
22.070000000000	-134.46919922424
22.080000000000	-134.93043496458
22.090000000000	-135.39109417530
22.100000000000	-135.85117661198
22.110000000000	-136.31068208420
22.120000000000	-136.76961045515
22.130000000000	-137.22796164127
22.140000000000	-137.68573561185
22.150000000000	-138.14293238869
22.160000000000	-138.59955204570
22.170000000000	-139.05559470854
22.180000000000	-139.51106055421
22.190000000000	-139.96594981072
22.200000000000	-140.42026275667
22.210000000000	-140.87399972090
22.220000000000	-141.32716108209
22.230000000000	-141.77974726840
22.240000000000	-142.23175875710
22.250000000000	-142.68319607416
22.260000000000	-143.13405979391
22.270000000000	-143.58435053863
22.280000000000	-144.03406897820
22.290000000000	-144.48321582970
22.300000000000	-144.93179185709
22.310000000000	-145.37979787073
22.320000000000	-145.82723472713
22.330000000000	-146.27410332849
22.340000000000	-146.72040462234
22.350000000000	-147.16613960122
22.360000000000	-147.61130930225
22.370000000000	-148.05591480679
22.380000000000	-148.49995724006
22.390000000000	-148.94343777078
22.400000000000	-149.38635761081
22.410000000000	-149.82871801478
22.420000000000	-150.27052027970
22.430000000000	-150.71176574463
22.440000000000	-151.15245579034
22.450000000000	-151.59259183887
22.460000000000	-152.03217535326
22.470000000000	-152.47120783715
22.480000000000	-152.90969083440
22.490000000000	-153.34762592881
22.500000000000	-153.78501474369
22.510000000000	-154.22185894156
22.520000000000	-154.65816022378
22.530000000000	-155.09392033021
22.540000000000	-155.52914103886
22.550000000000	-155.96382416556
22.560000000000	-156.39797156358
22.570000000000	-156.83158512335
22.580000000000	-157.26466677206
22.590000000000	-157.69721847337
22.600000000000	-158.12924222707
22.610000000000	-158.56074006869
22.620000000000	-158.99171406928
22.630000000000	-159.42216633496
22.640000000000	-159.85209900668
22.650000000000	-160.28151425986
22.660000000000	-160.71041430407
22.670000000000	-161.13880138273
22.680000000000	-161.56667777276
22.690000000000	-161.99404578428
22.700000000000	-162.42090776029
22.710000000000	-162.84726607638
22.720000000000	-163.27312314039
22.730000000000	-163.69848139212
22.740000000000	-164.12334330302
